GAME_ID,TEAM_ABBREVIATION_HOME,WL_HOME,MIN_HOME,FGA_HOME,FG3A_HOME,FTA_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,TEAM_ABBREVIATION_AWAY,FGA_AWAY,FG3A_AWAY,FTA_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY
29000443,WAS,1,240,92,4,35,45,32,9,13,15,27,LAC,95,5,41,51,23,11,10,15,26
29000452,LAL,1,240,81,6,34,46,27,6,1,16,20,CLE,84,6,21,33,24,10,4,13,25
29000449,CHI,1,240,79,6,23,42,29,4,3,13,25,ATL,78,13,36,35,18,8,4,9,21
29000446,PHX,1,240,85,5,32,41,31,5,8,13,20,HOU,92,14,22,40,21,8,5,12,25
29000447,BOS,1,240,88,0,35,44,20,7,6,10,20,LAC,86,0,28,46,29,4,5,15,27
29000450,MIA,0,240,91,8,11,31,31,5,2,16,21,MIN,74,2,33,41,21,13,7,21,19
29000453,DET,1,265,89,9,30,47,24,7,1,11,21,POR,83,13,24,47,20,8,4,17,31
29000448,MIL,0,240,87,14,12,31,30,10,5,18,21,PHL,84,10,29,42,26,11,3,19,16
29000451,DAL,0,240,91,17,15,38,21,7,2,11,22,UTH,77,2,34,47,24,7,4,12,18
29000454,GOS,0,240,88,7,32,37,27,7,5,15,25,PHX,93,7,36,47,27,10,5,19,26
29000461,NYK,1,240,82,7,22,47,27,5,5,14,20,ATL,84,15,20,38,23,8,4,12,16
29000458,WAS,1,240,91,0,29,47,28,10,5,21,16,BOS,83,3,21,33,15,15,6,24,20
29000463,SAC,1,240,71,4,34,36,23,11,6,22,20,SEA,91,6,18,53,25,12,5,25,29
29000457,SAN,1,240,84,5,28,46,31,8,12,15,22,UTH,86,4,27,42,24,7,4,18,21
29000460,IND,1,240,75,8,34,35,30,10,4,17,23,MIL,87,15,25,37,19,8,3,19,29
29000459,DEN,1,240,109,13,16,49,32,9,1,8,25,CLE,87,7,40,42,20,3,5,13,18
29000462,DAL,0,240,102,12,15,40,28,9,4,13,24,ORL,81,3,38,46,27,7,8,16,17
29000464,CHH,0,240,79,3,31,29,20,10,4,11,22,CHI,78,2,28,46,32,6,5,16,22
29000456,DET,1,265,87,7,41,56,23,7,4,17,23,MIA,89,3,33,39,22,10,5,9,29
29000455,PHL,1,240,79,2,32,39,24,9,3,11,22,NJN,79,8,27,32,25,5,2,14,21
